"","ILMN_1696048","ILMN_1800512","ILMN_2385672","ILMN_1692731","ILMN_1773262","ILMN_2231928","ILMN_1760062","ILMN_1712721","ILMN_1782004","ILMN_1729851","ILMN_2116877","ILMN_2198912"
"GSM662509",5.839,8.143,6.572,7.387,5.955,8.327,9.611,6.558,6.948,7.534,13.335,7.711
"GSM662510",8.472,8.781,5.995,8.407,6.107,9.838,10.1,9.73,9.235,7.687,12.151,6.632
"GSM662511",6.617,7.454,7.204,6.814,6.079,8.245,8.454,6.302,8.721,6.954,7.317,6.824
"GSM662512",7.788,6.708,7.269,7.51,6.001,8.454,7.888,14.154,10.101,6.467,10.968,6.71
"GSM662513",6.115,7.575,6.59,8.758,5.886,7.319,8.043,6.932,8.466,6.918,14.921,8.549
"GSM662514",7.544,7.794,9.299,8.083,6.518,9.073,9.234,7.134,7.856,6.545,12.256,7.425
"GSM662515",6.199,7.287,7.068,7.277,6.018,8.605,8.346,6.095,6.101,8.61,9.774,9.245
"GSM662516",5.782,7.217,6.333,7.462,6.05,9.162,8.543,6.861,6.076,7.587,10.09,7.345
"GSM662517",6.063,6.827,6.385,7.19,5.9,9.055,8.752,6.324,6.419,8.451,7.505,7.188
"GSM662518",7.725,8.162,9.225,8.687,6.222,8.685,9.097,6.693,10.309,6.136,10.835,6.914
"GSM662519",6.52,7.985,6.989,8.805,6.909,9.409,10.006,6.84,6.429,7.556,14.235,6.379
"GSM662520",6.496,7.186,7.624,7.651,5.963,8.601,8.258,14.514,8.693,6.949,12.496,7.523
"GSM662521",6.797,7.93,6.963,9.182,6.732,9.207,10.708,6.655,6.777,6.883,6.213,6.463
"GSM662522",6.338,7.155,6.994,7.497,6.127,8.131,8.296,15.1,7.534,7.596,7.439,8.258
"GSM662523",6.875,7.179,6.844,8.195,6.061,9.249,8.917,6.483,6.246,7.138,14.205,7.333
"GSM662524",6.81,7.373,7.077,8.004,6.714,9.574,9.376,6.492,6.724,7.265,10.804,8.008
"GSM662525",7.365,7.267,8.136,7.344,6.13,8.01,8.88,6.521,10.656,6.424,10.474,6.291
"GSM662526",7.194,7.168,9.093,8.214,6.304,8.476,8.237,6.45,7.314,7.19,12.447,7.609
"GSM662527",6.234,8.083,6.767,8.849,7.673,9.57,9.57,10.212,7.464,7.737,13.854,6.264
"GSM662528",9.634,7.753,8.447,8.482,8.441,8.553,9.12,6.274,6.371,6.297,10.836,6.375
"GSM662529",7.308,8.109,8.242,9.512,7.883,9.28,8.796,9.911,6.786,6.311,14.856,6.18
"GSM662530",6.927,7.99,6.681,8.244,5.787,7.548,8.097,6.622,10.468,6.105,8.628,6.214
"GSM662531",5.981,8.586,7.409,8.436,6.696,9.252,9.28,6.482,6.304,6.928,11.888,7.157
"GSM662532",5.808,8.096,6.238,8.746,6.071,9.724,8.691,6.518,6.176,6.352,13.618,6.651
"GSM662533",6.499,7.792,6.358,8.197,6.387,8.819,8.974,14.041,6.862,6.657,10.472,7.254
"GSM662534",7.417,7.192,9.129,8.378,7.127,8.721,8.677,6.578,8.863,7.82,6.653,6.235
"GSM662535",5.805,7.804,6.429,7.909,6.073,8.975,8.59,6.386,6.365,6.281,9.973,6.342
"GSM662536",6.021,7.214,6.472,8.629,5.958,9.345,9.448,7.223,5.886,6.441,14.911,6.966
"GSM662537",6.31,7.787,6.776,8.496,7.039,8.402,9.958,9.203,7.275,7.478,14.782,7.844
"GSM662538",6.081,6.582,6.708,7.197,6.109,10.222,9.446,6.256,6.675,7.624,6.513,7.964
"GSM662539",8.591,8.026,8.957,8.633,5.994,9.287,9.963,6.856,7.84,6.059,7.613,6.787
"GSM662540",6.139,7.455,6.307,8.062,6.031,9.702,9.541,6.191,6.207,6.152,7.707,6.492
"GSM662541",5.949,7.232,7.532,7.294,6.581,7.775,9.006,6.117,6.513,7.786,13.439,8.054
"GSM662542",6.301,7.039,7.259,7.725,5.954,9.412,9.26,6.331,6.381,7.91,13.647,7.88
"GSM662543",6.136,7.473,6.556,7.338,6.093,8.573,8.145,7.27,8.325,6.931,10.17,6.483
"GSM662544",6.604,7.351,6.582,7.906,6.133,8.025,9.115,9.564,8.845,7.896,14.806,7.103
"GSM662545",6.104,8.18,6.496,8.467,5.906,8.798,7.881,6.409,6.574,6.596,11.063,6.724
"GSM662546",6.598,7.535,7.432,6.949,6.001,8.121,9.024,6.654,8.502,5.823,6.856,6.345
"GSM662547",6.516,8.038,8.978,8.085,7.744,8.191,8.513,6.443,7.703,6.381,6.508,6.501
"GSM662548",6.252,8.769,6.617,8.128,6.072,7.68,8.606,10.633,7.325,6.733,14.162,7.937
"GSM662549",5.936,7.625,6.142,7.824,6.437,8.92,8.343,6.353,6.118,7.452,9.402,6.92
"GSM662550",6.935,12.065,6.418,9.321,8.554,9.27,9.83,6.865,6.206,5.964,6.218,6.357
"GSM662551",6.377,7.276,6.23,6.068,6.208,8.8,6.101,9.144,7.268,5.9,12.165,7.657
"GSM662552",5.944,7.127,5.991,8.033,6.218,8.029,8.149,10.884,6.146,6.619,14.243,7.562
"GSM662553",6.184,7.797,6.56,8.966,6.798,8.226,9.092,9.838,6.163,7.528,14.466,7.262
"GSM662554",6.409,7.711,6.964,7.447,6.113,7.845,9.144,6.39,6.728,7.126,14.79,8.145
"GSM662555",7.004,7.439,8.26,7.805,6.883,9.043,9.61,6.414,7.709,6.548,13.143,6.166
"GSM662556",5.976,7.564,6.39,8.127,6.781,7.417,7.534,6.598,6.32,6.941,11.418,5.994
"GSM662557",6.297,7.265,6.838,7.419,6.03,8.668,9.795,6.597,5.846,8.337,7.022,8.086
"GSM662558",6.567,8.407,7.085,8.775,7.345,9.441,8.928,10.975,7.405,8.752,12.94,15.018
"GSM662559",7.867,7.631,9.024,7.359,6.491,7.657,8.765,6.777,10.16,6.894,9.609,6.069
"GSM662560",6.502,7.616,7.581,8.518,6.77,7.846,9.071,6.533,6.827,6.626,10.492,6.414
"GSM662561",6.456,7.698,7.007,8.534,7.035,9.143,10.239,11.406,7.523,8.225,13.933,7.256
