"","GSE26901"
"1","ILMN_1696048"
"2","ILMN_1744381"
"3","ILMN_1740675"
"4","ILMN_1800512"
"5","ILMN_1787186"
"6","ILMN_1712026"
"7","ILMN_1765557"
"8","ILMN_1677636"
"9","ILMN_1672124"
"10","ILMN_2385672"
"11","ILMN_2149494"
"12","ILMN_1686116"
"13","ILMN_1707727"
"14","ILMN_1704730"
"15","ILMN_2128428"
"16","ILMN_1752755"
"17","ILMN_1699829"
"18","ILMN_2115125"
"19","ILMN_2371458"
"20","ILMN_1721035"
"21","ILMN_1805543"
"22","ILMN_1692731"
"23","ILMN_1735996"
"24","ILMN_2350634"
"25","ILMN_1768820"
"26","ILMN_1701603"
"27","ILMN_2223941"
"28","ILMN_1699071"
"29","ILMN_1691860"
"30","ILMN_1773262"
"31","ILMN_1754969"
"32","ILMN_1676372"
"33","ILMN_1764228"
"34","ILMN_1682099"
"35","ILMN_1761941"
"36","ILMN_2359800"
"37","ILMN_2331082"
"38","ILMN_1655987"
"39","ILMN_1705231"
"40","ILMN_2148527"
"41","ILMN_2231928"
"42","ILMN_1760062"
"43","ILMN_1669023"
"44","ILMN_2352303"
"45","ILMN_1682775"
"46","ILMN_1717163"
"47","ILMN_2089752"
"48","ILMN_1801616"
"49","ILMN_1809099"
"50","ILMN_1722622"
"51","ILMN_2407389"
"52","ILMN_1653028"
"53","ILMN_1715508"
"54","ILMN_1783593"
"55","ILMN_2123743"
"56","ILMN_1740015"
"57","ILMN_1785902"
"58","ILMN_1685433"
"59","ILMN_1815154"
"60","ILMN_1721626"
"61","ILMN_2334296"
"62","ILMN_2396444"
"63","ILMN_1703538"
"64","ILMN_1736178"
"65","ILMN_1740426"
"66","ILMN_1698019"
"67","ILMN_1705750"
"68","ILMN_1694548"
"69","ILMN_1745607"
"70","ILMN_2104356"
"71","ILMN_1682326"
"72","ILMN_1666932"
"73","ILMN_2332964"
"74","ILMN_1660114"
"75","ILMN_1807439"
"76","ILMN_1712721"
"77","ILMN_1776157"
"78","ILMN_1678842"
"79","ILMN_1719236"
"80","ILMN_1812824"
"81","ILMN_1782004"
"82","ILMN_1702363"
"83","ILMN_1786598"
"84","ILMN_1684795"
"85","ILMN_1735877"
"86","ILMN_1733270"
"87","ILMN_1655595"
"88","ILMN_1693826"
"89","ILMN_2266595"
"90","ILMN_1792473"
"91","ILMN_2193325"
"92","ILMN_1704376"
"93","ILMN_1664176"
"94","ILMN_1723522"
"95","ILMN_1760778"
"96","ILMN_1699421"
"97","ILMN_2206746"
"98","ILMN_1764309"
"99","ILMN_1729851"
"100","ILMN_1716407"
"101","ILMN_1778977"
"102","ILMN_1725090"
"103","ILMN_1687301"
"104","ILMN_1770505"
"105","ILMN_1701308"
"106","ILMN_1660808"
"107","ILMN_1728785"
"108","ILMN_1712430"
"109","ILMN_1740717"
"110","ILMN_1764709"
"111","ILMN_1768940"
"112","ILMN_2116877"
"113","ILMN_1699574"
"114","ILMN_1663866"
"115","ILMN_1711566"
"116","ILMN_1800055"
"117","ILMN_1684554"
"118","ILMN_2379599"
"119","ILMN_1695946"
"120","ILMN_1811313"
"121","ILMN_1654324"
"122","ILMN_2061435"
"123","ILMN_1754894"
"124","ILMN_2058251"
"125","ILMN_2412046"
"126","ILMN_2329914"
"127","ILMN_1686623"
"128","ILMN_1810172"
"129","ILMN_1723912"
"130","ILMN_2198912"
"131","ILMN_1773079"
"132","ILMN_1801205"
"133","ILMN_1671295"
"134","ILMN_1806198"
"135","ILMN_1741768"
"136","ILMN_1795484"
"137","ILMN_1785272"
"138","ILMN_1711199"
"139","ILMN_1753665"
"140","ILMN_1689318"
"141","ILMN_1755582"
"142","ILMN_1693270"
"143","ILMN_1766650"
"144","ILMN_1789007"
"145","ILMN_1696284"
"146","ILMN_1686664"
"147","ILMN_1772359"
"148","ILMN_1767556"
"149","ILMN_1689518"
"150","ILMN_2402392"
"151","ILMN_1796409"
"152","ILMN_2129161"
"153","ILMN_1772964"
"154","ILMN_2169152"
"155","ILMN_1682636"
"156","ILMN_2139970"
"157","ILMN_1677402"
