特征名,重要性分数
Stage,4.244297371882735
219410_at,3.4989473465562537
212190_at,3.2696806259383426
209193_at,3.2365707593764776
1559204_x_at,3.0
205714_s_at,2.500447171321296
228608_at,2.2202053058755413
204241_at,2.215961388169976
226844_at,2.1847199658145096
221011_s_at,2.0
202206_at,2.0
226237_at,2.0
213905_x_at,2.0
201147_s_at,2.0
202207_at,2.0
201125_s_at,2.0
201307_at,2.0
201666_at,2.0
207173_x_at,2.0
219179_at,2.0
1555705_a_at,2.0
202208_s_at,2.0
227995_at,2.0
236297_at,2.0
203083_at,2.0
201261_x_at,2.0
201506_at,2.0
223378_at,2.0
201792_at,2.0
219773_at,2.0
223690_at,2.0
207172_s_at,2.0
209101_at,2.0
204682_at,2.0
201124_at,2.0
223204_at,2.0
219922_s_at,1.0
214587_at,1.0
213569_at,1.0
202377_at,1.0
212354_at,1.0
226865_at,1.0
210605_s_at,1.0
201150_s_at,1.0
212344_at,1.0
214293_at,1.0
224560_at,1.0
204620_s_at,1.0
201148_s_at,1.0
226069_at,1.0
